width_level,trial_number,dH,response,correct,finger_speed,timestamp
12,1,24.0000,left,1,89.2386,2026-06-26T11:23:33
12,2,24.0000,left,1,0.0000,2026-06-26T11:23:36
12,3,22.8000,right,1,102.3883,2026-06-26T11:23:47
12,4,22.8000,right,1,0.0000,2026-06-26T11:23:48
12,5,21.6000,left,1,124.4341,2026-06-26T11:23:52
12,6,21.6000,right,1,140.2060,2026-06-26T11:23:55
12,7,20.4000,left,1,99.6322,2026-06-26T11:23:57
12,8,20.4000,right,1,91.9120,2026-06-26T11:24:00
12,9,19.2000,right,1,80.5848,2026-06-26T11:24:02
12,10,19.2000,left,1,132.1680,2026-06-26T11:24:10
12,11,18.0000,left,1,0.0000,2026-06-26T11:24:12
12,12,18.0000,left,1,0.0000,2026-06-26T11:24:14
12,13,16.8000,right,1,0.0000,2026-06-26T11:24:19
12,14,16.8000,right,0,0.0000,2026-06-26T11:24:22
12,15,18.0000,left,0,0.0000,2026-06-26T11:24:24
12,16,19.2000,left,1,0.0000,2026-06-26T11:24:25
