session_id,participant_id,timestamp,trial_index,mode,level_pct,comparison_height_mm,reference_height_mm,bar_width_mm,reference_side,response,correct,is_catch,is_practice,response_time_s,passes_json
P01_20260710_155228,,2026-07-10T15:53:54,1,constant_stimuli,-0.180000,8.2000,10.0000,10.0000,right,right,1,0,0,64.6046,[]
P01_20260710_155228,,2026-07-10T15:53:55,2,constant_stimuli,0.180000,11.8000,10.0000,10.0000,right,left,1,0,0,0.8316,[]
P01_20260710_155228,,2026-07-10T15:53:56,3,constant_stimuli,-0.180000,8.2000,10.0000,10.0000,left,left,1,0,0,1.1410,[]
P01_20260710_155228,,2026-07-10T15:53:57,4,constant_stimuli,-0.180000,8.2000,10.0000,10.0000,right,left,0,0,0,1.0526,[]
P01_20260710_155228,,2026-07-10T15:54:00,5,constant_stimuli,0.300000,13.0000,10.0000,10.0000,left,right,1,0,0,2.5637,[]
P01_20260710_155228,,2026-07-10T15:54:01,6,constant_stimuli,-0.060000,9.4000,10.0000,10.0000,left,left,1,0,0,1.1370,[]
P01_20260710_155228,,2026-07-10T15:54:02,7,constant_stimuli,0.060000,10.6000,10.0000,10.0000,right,left,1,0,0,1.2219,[]
P01_20260710_155228,,2026-07-10T15:54:03,8,constant_stimuli,0.060000,10.6000,10.0000,10.0000,left,right,1,0,0,0.9666,[]
P01_20260710_155228,,2026-07-10T15:54:05,9,constant_stimuli,0.060000,10.6000,10.0000,10.0000,right,left,1,0,0,1.6504,[]
P01_20260710_155228,,2026-07-10T15:54:05,10,constant_stimuli,0.300000,13.0000,10.0000,10.0000,right,left,1,0,0,0.7630,[]
P01_20260710_155228,,2026-07-10T15:54:06,11,constant_stimuli,-0.180000,8.2000,10.0000,10.0000,right,left,0,0,0,0.6281,[]
P01_20260710_155228,,2026-07-10T15:54:07,12,constant_stimuli,0.300000,13.0000,10.0000,10.0000,left,right,1,0,0,0.4927,[]
P01_20260710_155228,,2026-07-10T15:54:07,13,constant_stimuli,0.060000,10.6000,10.0000,10.0000,left,left,0,0,0,0.2558,[]
P01_20260710_155228,,2026-07-10T15:54:07,14,constant_stimuli,0.300000,13.0000,10.0000,10.0000,right,right,0,0,0,0.1005,[]
P01_20260710_155228,,2026-07-10T15:54:07,15,constant_stimuli,-0.300000,7.0000,10.0000,10.0000,left,left,1,0,0,0.1182,[]
P01_20260710_155228,,2026-07-10T15:54:07,16,constant_stimuli,-0.060000,9.4000,10.0000,10.0000,right,right,1,0,0,0.1364,[]
P01_20260710_155228,,2026-07-10T15:54:07,17,constant_stimuli,-0.300000,7.0000,10.0000,10.0000,right,left,0,0,0,0.1342,[]
P01_20260710_155228,,2026-07-10T15:54:08,18,constant_stimuli,-0.060000,9.4000,10.0000,10.0000,right,right,1,0,0,0.4947,[]
P01_20260710_155228,,2026-07-10T15:54:08,19,constant_stimuli,0.300000,13.0000,10.0000,10.0000,right,left,1,0,0,0.1351,[]
